team1,team2,toss_winner,toss_decision,venue,winner
Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers
Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,Brabourne Stadium,Mumbai Indians
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Sawai Mansingh Stadium,Royal Challengers Bangalore
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Delhi Daredevils
Kings XI Punjab,Deccan Chargers,Deccan Chargers,field,Himachal Pradesh Cricket Association Stadium,Deccan Chargers
Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Mumbai Indians
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Eden Gardens,Kolkata Knight Riders
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Himachal Pradesh Cricket Association Stadium,Chennai Super Kings
Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Feroz Shah Kotla,Deccan Chargers
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Eden Gardens,Kolkata Knight Riders
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Dr DY Patil Sports Academy,Mumbai Indians
Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,Dr DY Patil Sports Academy,Chennai Super Kings
Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,Dr DY Patil Sports Academy,Royal Challengers Bangalore
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Dr DY Patil Sports Academy,Chennai Super Kings
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals
Kochi Tuskers Kerala,Royal Challengers Bangalore,Kochi Tuskers Kerala,bat,Nehru Stadium,Royal Challengers Bangalore
